"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.0012041,0.028523,0,-0.02744,1,0,0,0.5,0.05
-0.0013041,0.029245,0,-0.027632,1,0.001,0.001,0.5,0.05
-0.0014041,0.029967,0,-0.027825,1,0.002,0.002,0.5,0.05
-0.0015041,0.03069,0,-0.028017,1,0.003,0.003,0.5,0.05
-0.001604,0.031412,0,-0.02821,1,0.004,0.004,0.5,0.05
-0.001704,0.032134,0,-0.028403,1,0.005,0.005,0.5,0.05
-0.001804,0.032857,0,-0.028595,1,0.006,0.006,0.5,0.05
-0.001904,0.033579,0,-0.028788,1,0.007,0.007,0.5,0.05
-0.002004,0.034302,0,-0.02898,1,0.008,0.008,0.5,0.05
-0.0021039,0.035024,0,-0.029173,1,0.009,0.009,0.5,0.05
-0.0022039,0.035746,0,-0.029366,1,0.01,0.01,0.5,0.05
-0.0023039,0.036469,0,-0.029558,1,0.011,0.011,0.5,0.05
-0.0024039,0.037191,0,-0.029751,1,0.012,0.012,0.5,0.05
-0.0025038,0.037913,0,-0.029943,1,0.013,0.013,0.5,0.05
-0.0026038,0.038636,0,-0.030136,1,0.014,0.014,0.5,0.05
-0.0027038,0.039358,0,-0.030329,1,0.015,0.015,0.5,0.05
-0.0028038,0.04008,0,-0.030521,1,0.016,0.016,0.5,0.05
-0.0029037,0.040803,0,-0.030714,1,0.017,0.017,0.5,0.05
-0.0030037,0.041525,0,-0.030906,1,0.018,0.018,0.5,0.05
-0.0031037,0.042248,0,-0.031099,1,0.019,0.019,0.5,0.05
-0.0032037,0.04297,0,-0.031292,1,0.02,0.02,0.5,0.05
-0.0033037,0.043692,0,-0.031484,1,0.021,0.021,0.5,0.05
-0.0034036,0.044415,0,-0.031677,1,0.022,0.022,0.5,0.05
-0.0035036,0.045137,0,-0.031869,1,0.023,0.023,0.5,0.05
-0.0036036,0.045859,0,-0.032062,1,0.024,0.024,0.5,0.05
-0.0037036,0.046582,0,-0.032255,1,0.025,0.025,0.5,0.05
-0.0038035,0.047304,0,-0.032447,1,0.026,0.026,0.5,0.05
-0.0039035,0.048026,0,-0.03264,1,0.027,0.027,0.5,0.05
-0.0040035,0.048749,0,-0.032832,1,0.028,0.028,0.5,0.05
-0.0041035,0.049471,0,-0.033025,1,0.029,0.029,0.5,0.05
-0.0042034,0.050193,0,-0.033218,1,0.03,0.03,0.5,0.05
-0.0043034,0.050916,0,-0.03341,1,0.031,0.031,0.5,0.05
-0.0044034,0.051638,0,-0.033603,1,0.032,0.032,0.5,0.05
-0.0045034,0.052361,0,-0.033795,1,0.033,0.033,0.5,0.05
-0.0047367,0.053467,0,-0.034063,1,0.034,0.034,0.5,0.05
-0.0050366,0.054766,0,-0.034368,1,0.035,0.035,0.5,0.05
-0.0053366,0.056064,0,-0.034674,1,0.036,0.036,0.5,0.05
-0.0056366,0.057363,0,-0.034979,1,0.037,0.037,0.5,0.05
-0.0059365,0.058661,0,-0.035284,1,0.038,0.038,0.5,0.05
-0.0062365,0.05996,0,-0.035589,1,0.039,0.039,0.5,0.05
-0.0065365,0.061258,0,-0.035895,1,0.04,0.04,0.5,0.05
-0.0068364,0.062557,0,-0.0362,1,0.041,0.041,0.5,0.05
-0.0071364,0.063855,0,-0.036505,1,0.042,0.042,0.5,0.05
-0.0074363,0.065153,0,-0.03681,1,0.043,0.043,0.5,0.05
-0.0077363,0.066452,0,-0.037116,1,0.044,0.044,0.5,0.05
-0.0080363,0.06775,0,-0.037421,1,0.045,0.045,0.5,0.05
-0.0083362,0.069049,0,-0.037726,1,0.046,0.046,0.5,0.05
-0.0086362,0.070347,0,-0.038031,1,0.047,0.047,0.5,0.05
-0.0089362,0.071646,0,-0.038336,1,0.048,0.048,0.5,0.05
-0.0092361,0.072944,0,-0.038642,1,0.049,0.049,0.5,0.05
-0.0095361,0.074243,0,-0.038947,1,0.05,0.05,0.5,0.05
-0.009836,0.075541,0,-0.039252,1,0.051,0.051,0.5,0.05
-0.010136,0.07684,0,-0.039557,1,0.052,0.052,0.5,0.05
-0.010436,0.078138,0,-0.039863,1,0.053,0.053,0.5,0.05
-0.010736,0.079437,0,-0.040168,1,0.054,0.054,0.5,0.05
-0.011036,0.080735,0,-0.040473,1,0.055,0.055,0.5,0.05
-0.011336,0.082034,0,-0.040778,1,0.056,0.056,0.5,0.05
-0.011636,0.083332,0,-0.041084,1,0.057,0.057,0.5,0.05
-0.011936,0.084631,0,-0.041389,1,0.058,0.058,0.5,0.05
-0.012236,0.085929,0,-0.041694,1,0.059,0.059,0.5,0.05
-0.012536,0.087228,0,-0.041999,1,0.06,0.06,0.5,0.05
-0.012836,0.088526,0,-0.042305,1,0.061,0.061,0.5,0.05
-0.013136,0.089825,0,-0.04261,1,0.062,0.062,0.5,0.05
-0.013436,0.091123,0,-0.042915,1,0.063,0.063,0.5,0.05
-0.013736,0.092422,0,-0.04322,1,0.064,0.064,0.5,0.05
-0.014036,0.09372,0,-0.043526,1,0.065,0.065,0.5,0.05
-0.014335,0.095019,0,-0.043831,1,0.066,0.066,0.5,0.05
-0.014688,0.09622,0,-0.044095,1,0.067,0.067,0.5,0.05
-0.015145,0.097225,0,-0.044277,1,0.068,0.068,0.5,0.05
-0.015602,0.09823,0,-0.044459,1,0.069,0.069,0.5,0.05
-0.016059,0.099235,0,-0.044642,1,0.07,0.07,0.5,0.05
-0.016516,0.10024,0,-0.044824,1,0.071,0.071,0.5,0.05
-0.016972,0.10125,0,-0.045006,1,0.072,0.072,0.5,0.05
-0.017429,0.10225,0,-0.045188,1,0.073,0.073,0.5,0.05
-0.017886,0.10326,0,-0.045371,1,0.074,0.074,0.5,0.05
-0.018343,0.10426,0,-0.045553,1,0.075,0.075,0.5,0.05
-0.0188,0.10527,0,-0.045735,1,0.076,0.076,0.5,0.05
-0.019257,0.10627,0,-0.045917,1,0.077,0.077,0.5,0.05
-0.019714,0.10728,0,-0.0461,1,0.078,0.078,0.5,0.05
-0.020171,0.10828,0,-0.046282,1,0.079,0.079,0.5,0.05
-0.020628,0.10929,0,-0.046464,1,0.08,0.08,0.5,0.05
-0.021085,0.11029,0,-0.046646,1,0.081,0.081,0.5,0.05
-0.021542,0.1113,0,-0.046828,1,0.082,0.082,0.5,0.05
-0.021999,0.1123,0,-0.047011,1,0.083,0.083,0.5,0.05
-0.022456,0.11331,0,-0.047193,1,0.084,0.084,0.5,0.05
-0.022913,0.11431,0,-0.047375,1,0.085,0.085,0.5,0.05
-0.02337,0.11532,0,-0.047557,1,0.086,0.086,0.5,0.05
-0.023827,0.11632,0,-0.04774,1,0.087,0.087,0.5,0.05
-0.024284,0.11733,0,-0.047922,1,0.088,0.088,0.5,0.05
-0.02474,0.11833,0,-0.048104,1,0.089,0.089,0.5,0.05
-0.025197,0.11934,0,-0.048286,1,0.09,0.09,0.5,0.05
-0.025654,0.12034,0,-0.048469,1,0.091,0.091,0.5,0.05
-0.026111,0.12135,0,-0.048651,1,0.092,0.092,0.5,0.05
-0.026568,0.12235,0,-0.048833,1,0.093,0.093,0.5,0.05
-0.027025,0.12336,0,-0.049015,1,0.094,0.094,0.5,0.05
-0.027482,0.12436,0,-0.049197,1,0.095,0.095,0.5,0.05
-0.027939,0.12537,0,-0.04938,1,0.096,0.096,0.5,0.05
-0.028396,0.12637,0,-0.049562,1,0.097,0.097,0.5,0.05
-0.028853,0.12738,0,-0.049744,1,0.098,0.098,0.5,0.05
-0.02931,0.12838,0,-0.049926,1,0.099,0.099,0.5,0.05
-0.029767,0.12939,0,-0.050109,1,0.1,0.1,0.5,0.05
-0.030313,0.1301,0,-0.05022,1,0.101,0.101,0.5,0.05
-0.030858,0.13082,0,-0.050332,1,0.102,0.102,0.5,0.05
-0.031404,0.13154,0,-0.050444,1,0.103,0.103,0.5,0.05
-0.03195,0.13226,0,-0.050555,1,0.104,0.104,0.5,0.05
-0.032495,0.13297,0,-0.050667,1,0.105,0.105,0.5,0.05
