"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.06582,0.001443,0,-0.0050398,1,0,0.5,0,0.05
-0.070757,0.0015882,0,-0.0050411,1,0.001,0.5,0.001,0.05
-0.075693,0.0017334,0,-0.0050423,1,0.002,0.5,0.002,0.05
-0.08063,0.0018786,0,-0.0050436,1,0.003,0.5,0.003,0.05
-0.085567,0.0020238,0,-0.0050448,1,0.004,0.5,0.004,0.05
-0.090503,0.002169,0,-0.0050461,1,0.005,0.5,0.005,0.05
-0.09544,0.0023141,0,-0.0050473,1,0.006,0.5,0.006,0.05
-0.10038,0.0024593,0,-0.0050486,1,0.007,0.5,0.007,0.05
-0.10531,0.0026045,0,-0.0050498,1,0.008,0.5,0.008,0.05
-0.11025,0.0027497,0,-0.005051,1,0.009,0.5,0.009,0.05
-0.11519,0.0028949,0,-0.0050523,1,0.01,0.5,0.01,0.05
-0.1235,0.0030947,0,-0.0050774,1,0.011,0.5,0.011,0.05
-0.13181,0.0032944,0,-0.0051026,1,0.012,0.5,0.012,0.05
-0.14013,0.0034942,0,-0.0051277,1,0.013,0.5,0.013,0.05
-0.14844,0.003694,0,-0.0051529,1,0.014,0.5,0.014,0.05
-0.15676,0.0038938,0,-0.005178,1,0.015,0.5,0.015,0.05
-0.16507,0.0040936,0,-0.0052031,1,0.016,0.5,0.016,0.05
-0.17338,0.0042934,0,-0.0052283,1,0.017,0.5,0.017,0.05
-0.1817,0.0044931,0,-0.0052534,1,0.018,0.5,0.018,0.05
-0.19001,0.0046929,0,-0.0052786,1,0.019,0.5,0.019,0.05
-0.19833,0.0048927,0,-0.0053037,1,0.02,0.5,0.02,0.05
-0.20415,0.0049145,0,-0.0053749,1,0.021,0.5,0.021,0.05
-0.20998,0.0049363,0,-0.005446,1,0.022,0.5,0.022,0.05
-0.21581,0.0049581,0,-0.0055171,1,0.023,0.5,0.023,0.05
-0.22164,0.0049799,0,-0.0055883,1,0.024,0.5,0.024,0.05
-0.22747,0.0050017,0,-0.0056594,1,0.025,0.5,0.025,0.05
-0.2333,0.0050235,0,-0.0057306,1,0.026,0.5,0.026,0.05
-0.23913,0.0050453,0,-0.0058017,1,0.027,0.5,0.027,0.05
-0.24495,0.0050671,0,-0.0058728,1,0.028,0.5,0.028,0.05
-0.25078,0.0050889,0,-0.005944,1,0.029,0.5,0.029,0.05
-0.25661,0.0051107,0,-0.0060151,1,0.03,0.5,0.03,0.05
-0.26102,0.0050234,0,-0.0061363,1,0.031,0.5,0.031,0.05
-0.26543,0.004936,0,-0.0062575,1,0.032,0.5,0.032,0.05
-0.26984,0.0048487,0,-0.0063787,1,0.033,0.5,0.033,0.05
-0.27425,0.0047614,0,-0.0064999,1,0.034,0.5,0.034,0.05
-0.27866,0.0046741,0,-0.0066211,1,0.035,0.5,0.035,0.05
-0.28307,0.0045868,0,-0.0067423,1,0.036,0.5,0.036,0.05
-0.28749,0.0044995,0,-0.0068635,1,0.037,0.5,0.037,0.05
-0.2919,0.0044122,0,-0.0069847,1,0.038,0.5,0.038,0.05
-0.29631,0.0043249,0,-0.0071058,1,0.039,0.5,0.039,0.05
-0.30072,0.0042375,0,-0.007227,1,0.04,0.5,0.04,0.05
-0.30422,0.0041357,0,-0.0074026,1,0.041,0.5,0.041,0.05
-0.30773,0.0040339,0,-0.0075782,1,0.042,0.5,0.042,0.05
-0.31123,0.0039321,0,-0.0077538,1,0.043,0.5,0.043,0.05
-0.31473,0.0038303,0,-0.0079294,1,0.044,0.5,0.044,0.05
-0.31824,0.0037284,0,-0.008105,1,0.045,0.5,0.045,0.05
-0.32174,0.0036266,0,-0.0082806,1,0.046,0.5,0.046,0.05
